FC Metric,LogReg,RFC,SVC
COH,0.1953398058252427,0.20281553398058252,0.1933398058252427
PDC,0.35058252427184466,0.9648932038834952,0.6082135922330097
PLV,0.19584466019417476,0.20180582524271845,0.18658252427184466
Spectral Granger,0.32297087378640776,0.9618252427184466,0.31860194174757284
iCOH,0.2874368932038835,0.9619029126213592,0.9609708737864078
