,precision,recall,f1-score,support
0,0.9206651396614808,1.0,0.9586940697260211,61900.0
1,0.1252302025782689,0.0055284552845528455,0.010589426146538971,12300.0
2,0.21897275761817594,0.7531851851851852,0.3393009093184283,13500.0
3,0.0,0.0,0.0,10400.0
4,0.21779884149552395,0.15786259541984732,0.18304934720070815,13100.0
5,0.043010752688172046,0.00031746031746031746,0.0006302686520129205,12600.0
accuracy,0.5994184168012924,0.5994184168012924,0.5994184168012924,0.5994184168012924
macro avg,0.2542796156736036,0.3194822827011743,0.24871067017395163,123800.0
weighted avg,0.5240770288535224,0.5994184168012924,0.5368324956929448,123800.0
