FC Metric,LogReg,RFC,SVC
COH,0.6028190630048466,0.5952100161550888,0.5994184168012924
PDC,0.639410339256866,0.9736348949919225,0.7952342487883683
PLV,0.6037318255250403,0.5936348949919225,0.6054200323101777
Spectral Granger,0.6259531502423263,0.9729886914378029,0.6408885298869144
iCOH,0.47773021001615507,0.9696607431340872,0.9724232633279483
