,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GNN,LogReg,MLP,RFC,SVM,CNN,GNN,LogReg,MLP,RFC,SVM
FC Metric,,,,,,,,,,,,
COH,0.886657800102803,0.9962596842855564,0.887470768199255,0.8893149261832223,0.8830335405103481,0.8927253561546971,0.03411230024026313,0.005010663938943116,0.0318682691227965,0.032037330752693105,0.03435409315355298,0.030975795084908664
PDC,0.9976978275865955,0.9959914353096607,0.9139363428510591,0.9916448912920571,0.9993497921175052,0.9657809843938635,0.0035003343824880906,0.005925743484179735,0.028497644902025998,0.007610464467450173,0.001158325121376036,0.014980896891834572
PLV,0.8849387285162605,0.9923266880099167,0.8880686259138788,0.88929745442552,0.8866435720831843,0.8899316504490036,0.03487986214727545,0.00890903951619626,0.03239698386416889,0.035390217470102625,0.03290423367982798,0.031556899273821104
SpcG,0.9949376907474832,0.9954230795509253,0.9057683469011641,0.947875084471707,0.9995427705546011,0.9112021244844788,0.005618157368653676,0.007621458710537765,0.02983337250024376,0.020342988233845616,0.0008976212596046862,0.027861014450996757
iCOH,0.9963857678160843,0.9976423928815523,0.5648161794279564,0.9898843844803586,0.9952508039730372,0.9975956112887165,0.0057153599950289236,0.0029041787194689084,0.05176894299012347,0.0074419880921905435,0.005761845907864549,0.004034054498250783
