,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GNN,LogReg,MLP,RFC,SVM,CNN,GNN,LogReg,MLP,RFC,SVM
FC Metric,,,,,,,,,,,,
COH,0.550867327472434,0.911176256549508,0.5392217717761354,0.5440080246712087,0.532128045647997,0.4963920963872265,0.06255224719572977,0.04267779873355526,0.0673704703099276,0.06355063383034937,0.06306070246294015,0.06613930239943178
PDC,0.947842295133873,0.924889731797216,0.5856374390282214,0.9065758886848052,0.9535000734671669,0.7126595764024584,0.03667180875750431,0.049511134403647405,0.058345224483160596,0.04429142776351558,0.039342425559519056,0.05817383561939826
PLV,0.5464751026120529,0.849531476931089,0.5374352433363838,0.5486339185206939,0.5305634901629793,0.5534142894178489,0.06606351099589686,0.05297532725806464,0.06332738748270861,0.061790224891597745,0.06710623538252103,0.059267111520236004
SpcG,0.9537361297344754,0.9112223298482841,0.5685625107741885,0.6543484964990244,0.9549821733946235,0.5788817500017187,0.0383597636627081,0.04765004384043536,0.058933541102957454,0.058656381572952165,0.033215593750512085,0.0555848985515357
iCOH,0.9265438662893917,0.9283809940947734,0.24050636859195948,0.8642403261361951,0.9346674065269844,0.9433436698631631,0.042966770836685875,0.04415178494311378,0.060000518460382096,0.051763208131734184,0.04517095466484078,0.040984943549741915
