,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GNN,LogReg,MLP,RFC,SVM,CNN,GNN,LogReg,MLP,RFC,SVM
FC Metric,,,,,,,,,,,,
COH,0.6005663867591579,0.9511298527443105,0.6042033345503225,0.5941030546428137,0.5957229159060484,0.6025868321771937,0.06117244736521843,0.024627723013265213,0.06246333211634414,0.06076972130948033,0.05882253863940612,0.058019228428866976
PDC,0.9717295850066935,0.9592091030789827,0.6441878057685286,0.9470933917488134,0.9749592308628453,0.7952352926858951,0.02021443349154195,0.029209103078982612,0.061235998539612924,0.02588127053669209,0.02344407934769377,0.04978074723134962
PLV,0.597333576731167,0.9147819885603018,0.604608932700499,0.6037965194109773,0.5924909821102592,0.6066273335767312,0.06400024339783372,0.03599410977242301,0.05599712790556166,0.06440258001703791,0.06205447243519535,0.060039333089935476
SpcG,0.9749589874650116,0.9511312157721795,0.6256073506145795,0.7326312766216381,0.975766581477425,0.6409537300718023,0.023443835949860103,0.029919094560058257,0.0619709869782159,0.05524751125714977,0.018190823901667486,0.056015966897894676
iCOH,0.9600148472678594,0.9612281367895825,0.47819428015090665,0.921648241450651,0.9652664476086162,0.969304953145917,0.026681513934526002,0.027894803456249173,0.06001246196908849,0.0364875988803699,0.025872508214676793,0.02385040769137159
