,mean,err
Classifier,MLP,MLP
FC Metric,,
COH,0.5440080246712087,0.06355063383034937
PDC,0.9065758886848052,0.04429142776351558
PLV,0.5486339185206939,0.061790224891597745
SpcG,0.6543484964990244,0.058656381572952165
iCOH,0.8642403261361951,0.051763208131734184
