FC Metric,LogReg,RFC,SVC
COH,0.3357584132959864,0.31974630356675715,0.3194822827011743
PDC,0.39529143191460103,0.9557168650695772,0.6555915609022572
PLV,0.33691670056154605,0.3195879915630853,0.3417462138366157
Spectral Granger,0.3680320902505784,0.9545387181523065,0.3925855625496831
iCOH,0.15924340333871836,0.9493821717411102,0.9550010221600931
