,precision,recall,f1-score,support
0,1.0,1.0,1.0,61900.0
1,0.950366151342555,0.9495934959349593,0.9499796665311102,12300.0
2,0.9348619833503724,0.9482962962962963,0.9415312201220858,13500.0
3,0.9800884955752213,0.9371153846153846,0.9581203303185214,10400.0
4,0.9354597184785864,0.9537404580152672,0.9445116419715754,13100.0
5,0.9443563728598605,0.9455555555555556,0.9449555837563451,12600.0
accuracy,0.9736348949919225,0.9736348949919225,0.9736348949919225,0.9736348949919225
macro avg,0.957522120267766,0.9557168650695772,0.9565164071166063,123800.0
weighted avg,0.9738002697966841,0.9736348949919225,0.973662485221737,123800.0
