,mean,err
Classifier,MLP,MLP
FC Metric,,
COH,0.6017994832968461,0.06512927733841467
PDC,0.9503549975476332,0.028050127417763138
PLV,0.6003998498814977,0.06778715817659409
Spectral Granger,0.7391883308766105,0.059926797203312177
iCOH,0.9257655850198568,0.03325145209395908
