,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.33924130240333616,0.9421922991588784,0.33756580763782623,,0.3209276536974841,0.32432672100503473,0.06637710888517673,0.037369276719081856,0.0584355986168793,,0.05621197847117276,0.03678995629915238
PDC,0.9520124852172491,0.9586152739076762,0.40371454080180136,0.9122190665675786,0.9577998167627599,0.65522632115441,0.04036202579105452,0.03344487460169043,0.06483170796259585,0.04860753609169055,0.033869763972413036,0.07679810265019937
PLV,0.3378377812256418,0.9380614992695642,0.33910557504547995,,0.3184608634267987,0.34372680795169785,0.05894590509577674,0.03348087636398556,0.05957187677399972,,0.05731485391141866,0.0619665253362362
Spectral Granger,0.9595300749966557,0.9501459695048883,0.3676934148724523,,0.9586356814527506,0.3924691058138007,0.03360790688698756,0.034168002381483764,0.06161724133823249,,0.03552173399669778,0.06490697839873211
iCOH,0.9400442495235457,0.9485132362611345,0.1594088864153674,0.8786233900933866,0.9424512627230052,0.9521065560036224,0.04110062585608487,0.037797991202042636,0.006152181434524506,0.05545173127834546,0.03954534124510223,0.03719700885142818
