,precision,recall,f1-score,support
0,1.0,1.0,1.0,61900.0
1,0.9505990480879698,0.9417886178861788,0.946173323531814,12300.0
2,0.9344787419918462,0.9508148148148148,0.9425760023498311,13500.0
3,0.9818291944276196,0.9351923076923077,0.9579434649857185,10400.0
4,0.9380159087498124,0.9541984732824428,0.9460379928857943,13100.0
5,0.9344107955437,0.9452380952380952,0.9397932612641048,12600.0
accuracy,0.9729886914378029,0.9729886914378029,0.9729886914378029,0.9729886914378029
macro avg,0.956555614800158,0.9545387181523065,0.9554206741695438,123800.0
weighted avg,0.9731861014450108,0.9729886914378029,0.9730194890609623,123800.0
