,precision,recall,f1-score,support
0,1.0,1.0,1.0,61900.0
1,0.5685175365502614,0.6101626016260162,0.588604368456139,12300.0
2,0.605771270952684,0.6344444444444445,0.619776402908933,13500.0
3,0.5947344734473448,0.5082692307692308,0.5481128162588138,10400.0
4,0.5838304442417012,0.6350381679389313,0.6083586237156752,13100.0
5,0.6018559047535673,0.5456349206349206,0.572368147192274,12600.0
accuracy,0.7952342487883683,0.7952342487883683,0.7952342487883683,0.7952342487883683
macro avg,0.6591182716575931,0.6555915609022572,0.6562033930886392,123800.0
weighted avg,0.7955369919284577,0.7952342487883683,0.794737682436759,123800.0
