,mean,err
Classifier,CNN,CNN
FC Metric,,
COH,0.33891475621887035,0.06831275640523227
PDC,0.9534766869481454,0.038565408819955516
PLV,0.3380496528771943,0.061768289708381274
SpcG,0.9597059753249912,0.034297401807865
iCOH,0.9387265429339772,0.038729583623937414
