,mean,err
Classifier,LogReg,LogReg
FC Metric,,
COH,0.8161833630502093,0.036370506921352797
PDC,0.8566707489665207,0.030682882061945027
PLV,0.8170948425947447,0.03383407337262201
Spectral Granger,0.8423209947907431,0.03279109501548416
iCOH,0.5852639151306884,0.044594318413249456
