,precision,recall,f1-score,support
0,0.4886478179685047,0.9554604200323101,0.6466047864257055,61900.0
1,0.0,0.0,0.0,12300.0
2,0.0,0.0,0.0,13500.0
3,0.0,0.0,0.0,10400.0
4,0.0,0.0,0.0,13100.0
5,0.0,0.0,0.0,12600.0
accuracy,0.47773021001615507,0.47773021001615507,0.47773021001615507,0.47773021001615507
macro avg,0.08144130299475079,0.15924340333871836,0.10776746440428425,123800.0
weighted avg,0.24432390898425235,0.47773021001615507,0.32330239321285276,123800.0
