,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.6046728293146294,0.9551995005553684,0.5924185198473072,0.6017994832968461,0.5821487788584201,0.5178922374796133,0.06570899981576528,0.023764209243512302,0.071025946686194,0.06512927733841467,0.0729353644328169,0.07747329227702937
PDC,0.9734591191708086,0.9625903926988516,0.6484160707403251,0.9503549975476332,0.9766426779714925,0.802327808319745,0.021172022008711266,0.024869562101859977,0.06109646224424614,0.028050127417763138,0.019189374481037302,0.05154697850958723
PLV,0.6026759658859001,0.9281381903551325,0.5917390167307035,0.6003998498814977,0.5778331614564396,0.6070279005109102,0.06622573811802523,0.025043821914599085,0.06864118378501427,0.06778715817659409,0.0721279697524777,0.06315097727448349
Spectral Granger,0.9765335463739543,0.9556935004009967,0.6181958122105573,0.7391883308766105,0.9773746470891971,0.648155066164945,0.020807961572282485,0.024553106270312597,0.06964074042762569,0.059926797203312177,0.01817944755189227,0.07567272696126714
iCOH,0.9621606401910383,0.9636460983606903,0.24592261359575052,0.9257655850198568,0.9669269187610551,0.9709308018067363,0.023243468473866602,0.02323013610627056,0.06065668146455716,0.03325145209395908,0.022699261111280178,0.02312988911277547
