,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.5999524658556226,0.9518167576979868,0.5933431316070155,0.5956409639352277,0.5819721517717602,0.5400923654852064,0.06428484535753598,0.02402318669568615,0.06556449259806907,0.06201490380866215,0.06377622825422513,0.06194830654117989
PDC,0.9716941201407646,0.9597662480399893,0.6430367620232624,0.9470262801432855,0.9749066180521034,0.794626694130538,0.021095853979714918,0.02916691430045859,0.060407669169254774,0.027503493476842,0.022795068922851658,0.050978916608107494
PLV,0.5974082493746411,0.9168105540163871,0.592850740331574,0.5985011385622294,0.5817922855264888,0.6030490422336021,0.06500502861633028,0.032839728758663256,0.061007982881636,0.0627794030052683,0.06768877362896164,0.06167822848741289
Spectral Granger,0.9750406678570265,0.9519746095460262,0.6158825639185486,0.7321382511015827,0.9757732372644379,0.6314503090886844,0.02302544560034081,0.028627248419441642,0.06162942470464072,0.05788549034862922,0.01848402570859653,0.05606233751522893
iCOH,0.9599721904818318,0.9614525713860719,0.3243713345778312,0.9216550189453101,0.9648187787537484,0.9692677277018542,0.02604791308001242,0.026235961796178597,0.06637073175478636,0.03532809549708338,0.02571193288428697,0.023802124559327842
