,mean,err
Classifier,GCN,GCN
FC Metric,,
COH,0.9511298527443105,0.024627723013265213
PDC,0.9592091030789827,0.029209103078982612
PLV,0.9147819885603018,0.03599410977242301
Spectral Granger,0.9511312157721795,0.029919094560058257
iCOH,0.9612281367895825,0.027894803456249173
