,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.8115725553432313,0.9948922191320896,0.8161833630502093,0.8159731745914378,0.8051032909868561,0.8229393746287748,0.03551389215118028,0.007736797845974919,0.036370506921352797,0.03485785420245713,0.03622853832462636,0.0336037466517638
PDC,0.9960512824362957,0.9946582471648329,0.8566707489665207,0.9859051669110117,0.99891393089993,0.9429997921767875,0.00608622588282326,0.007824821388446646,0.030682882061945027,0.011973673924515316,0.002023440766664386,0.02053343224738391
PLV,0.8094007161885153,0.9895417626541873,0.8170948425947447,0.8159334918138084,0.810972024085356,0.8154057426902964,0.03740602853105679,0.012642096003541159,0.03383407337262201,0.036643606280636454,0.036727730602110986,0.03317885347014227
Spectral Granger,0.9917182823341946,0.9940648928423851,0.8423209947907431,0.9132659665309232,0.9992346924597396,0.8513125312158519,0.008576379072678275,0.009398168573502397,0.03279109501548416,0.024476256291505627,0.0014959069209004028,0.03171019911983708
iCOH,0.995352579563798,0.9966094306625364,0.5852639151306884,0.9846233455326692,0.9924388351909874,0.996141325489271,0.0069859966025740405,0.0044321865047741715,0.044594318413249456,0.011211357696587765,0.008861683068109416,0.006590935968504019
