,precision,recall,f1-score,support
0,0.9873434132270245,0.9842649434571891,0.9858017749803814,61900.0
1,0.20572509665213456,0.20333333333333334,0.2045222226765343,12300.0
2,0.24174095437860513,0.23903703703703705,0.24038139223062313,13500.0
3,0.17174432497013142,0.1658653846153846,0.1687536685580121,10400.0
4,0.22083240265058446,0.226412213740458,0.2235875014134409,13100.0
5,0.19890176937156803,0.206984126984127,0.2028624766645924,12600.0
accuracy,0.5973586429725364,0.5973586429725364,0.5973586429725364,0.5973586429725364
macro avg,0.33771466020834134,0.33764950652792153,0.337651506087264,123800.0
weighted avg,0.598511200324548,0.5973586429725364,0.597916022882178,123800.0
