,precision,recall,f1-score,support
0,0.9789651952327441,0.9992245557350565,0.988991133745333,61900.0
1,0.9716127951766873,0.9433333333333334,0.9572642521244121,12300.0
2,0.929466290100659,0.9507407407407408,0.9399831557362042,13500.0
3,0.9790458752924422,0.9254807692307693,0.9515100588206218,10400.0
4,0.9566326530612245,0.9446564885496184,0.9506068520510063,13100.0
5,0.9713246839104206,0.9328571428571428,0.9517023602283309,12600.0
accuracy,0.9696607431340872,0.9696607431340872,0.9696607431340872,0.9696607431340872
macro avg,0.964507915462363,0.9493821717411102,0.9566763021176513,123800.0
weighted avg,0.9697030190416296,0.9696607431340872,0.9694893230604584,123800.0
