,precision,recall,f1-score,support
0,1.0,1.0,1.0,61900.0
1,0.25802888700084964,0.24691056910569106,0.25234732031574575,12300.0
2,0.3087923366404379,0.3342962962962963,0.3210385914991997,13500.0
3,0.2484296095578273,0.1939423076923077,0.2178303364112533,10400.0
4,0.3058485779142743,0.34969465648854964,0.3263052923997436,13100.0
5,0.25052343372523755,0.2469047619047619,0.24870093532656487,12600.0
accuracy,0.639410339256866,0.639410339256866,0.639410339256866,0.639410339256866
macro avg,0.3952704741397712,0.39529143191460103,0.3943704126587512,123800.0
weighted avg,0.6380398338430755,0.639410339256866,0.6382193831934674,123800.0
