,precision,recall,f1-score,support
0,1.0,1.0,1.0,61900.0
1,0.30683567224988684,0.27552845528455283,0.29034054401370746,12300.0
2,0.2638572513287775,0.41185185185185186,0.3216475760731228,13500.0
3,0.38616352201257864,0.02951923076923077,0.05484591335417597,10400.0
4,0.32514682327816335,0.27893129770992364,0.3002711808694223,13100.0
5,0.2553239436619718,0.35968253968253966,0.2986490939044481,12600.0
accuracy,0.6408885298869144,0.6408885298869144,0.6408885298869144,0.6408885298869144
macro avg,0.4228878687552297,0.3925855625496831,0.37762571803581274,123800.0
weighted avg,0.6520901241165403,0.6408885298869144,0.6306975728580344,123800.0
