,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GNN,LogReg,MLP,RFC,SVM,CNN,GNN,LogReg,MLP,RFC,SVM
FC Metric,,,,,,,,,,,,
COH,0.8947146164307399,0.9960105660721814,0.8980029442468337,0.8961476484320455,0.895339630121135,0.9045577021676936,0.029342469133995297,0.00511726946979385,0.028371739324918988,0.029688144299814145,0.02876001579606613,0.02866054881599478
PDC,0.9978647735810535,0.9957590854952441,0.9226860413368433,0.9923815280853685,0.9993436400982245,0.9692270040759584,0.0030820371255897427,0.005476991831332212,0.023583011033812995,0.0067576529705842825,0.00102738665469837,0.012978335572744415
PLV,0.8921036387426969,0.9890185192392037,0.8985797850138648,0.8986167756757499,0.8955109365318601,0.9035273608797655,0.030790874739023866,0.009548914096871308,0.029112751037739915,0.03111301075380324,0.028892203749490974,0.02645738842797485
SpcG,0.9951764393658806,0.9950412251234017,0.9161613198642535,0.9530454186809304,0.9994862278224163,0.9204765174186517,0.0051973760049991435,0.007292097483364901,0.024076838688863234,0.01779619921352904,0.000882003763646777,0.023502412735456057
iCOH,0.99664124003634,0.9974877411803943,0.7441445022057096,0.9895955439698543,0.9949148876992697,0.9977191873469738,0.004861993020729316,0.0029320019701096767,0.0421456041340843,0.007207782068919921,0.00620855217095706,0.0037566529117121217
