,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.43020589874960075,0.90721890487705,0.4338884815416141,,0.42518497214369366,0.43213832973259064,0.0630067709336572,0.04544381701644107,0.06611151845838592,,0.06130151434279285,0.0610743399506673
PDC,0.945311763448752,0.9220345122188598,0.4761180264975488,0.8999839640907069,0.9513937697005039,0.6611864008609817,0.03779731258169994,0.05286078340530043,0.06473232000545937,0.046051379821044014,0.043879318833451864,0.06698350231025707
PLV,0.4269001855896263,0.8436024672563384,0.434227532194835,,0.4219086388898526,0.4363230595007458,0.06631248409363166,0.05981868347255459,0.058985137488422934,,0.06457784759663393,0.06367694049925421
Spectral Granger,0.9514031131757471,0.9072777632670156,0.4562327851051879,,0.9529137165478755,0.47260119569415593,0.04388866230869504,0.053345178997352694,0.06450454208375217,,0.035038090681040135,0.06228252523607658
iCOH,0.9234707113595028,0.92572499384204,0.31499511475860165,0.8553140080487908,0.933221506844279,0.9407556701509554,0.04847071135950276,0.05072499384203999,0.05062729866664761,0.061333397002962364,0.04750722112999328,0.04420394601302435
