,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GNN,LogReg,MLP,RFC,SVM,CNN,GNN,LogReg,MLP,RFC,SVM
FC Metric,,,,,,,,,,,,
COH,0.33891475621887035,0.9263400081438531,0.3374193201874486,0.33545773262138406,0.32508972859629043,0.2403617711878884,0.06831275640523227,0.04155379846314733,0.06805004589886254,0.06237789657599402,0.07762699383369992,0.09086514078902333
PDC,0.9534766869481454,0.9376553144865805,0.40339153639592024,0.9128556610873995,0.9600951335099368,0.6597539290940985,0.038565408819955516,0.04275405144513189,0.06739231802284468,0.04943826342658075,0.033906745874180744,0.07728336639907929
PLV,0.3380496528771943,0.8723620953884994,0.33860394586208525,0.33581980620953067,0.3198628754952395,0.34426210466878887,0.061768289708381274,0.05052495044280181,0.07165936478289953,0.06493423055010067,0.06930948575961615,0.06651741600938627
SpcG,0.9597059753249912,0.9262671162662343,0.35176999694979705,0.5535781739137084,0.9613490716628111,0.40289282370670004,0.034297401807865,0.04373822971161234,0.09407591689883416,0.08053343449777206,0.031746759723542683,0.132653574339698
iCOH,0.9387265429339772,0.9420587532216175,0.08151318441386184,0.8790276332195984,0.9592690048087664,0.9524639835224583,0.038729583623937414,0.04178456449777568,0.010084612985290412,0.053873308880491466,0.033747304601501105,0.03567792508198808
