FC_metrics,CNN,GCN,LogReg,MLP,RFC,SVC
COH,0.538 ± 0.006,1.000 ± 0.000,0.464 ± 0.039,0.505 ± 0.006,0.475 ± 0.036,0.564 ± 0.031
PDC,0.988 ± 0.003,1.000 ± 0.000,0.654 ± 0.049,0.878 ± 0.005,0.999 ± 0.001,0.849 ± 0.030
PLV,0.542 ± 0.006,1.000 ± 0.000,0.461 ± 0.055,0.519 ± 0.006,0.495 ± 0.038,0.544 ± 0.047
Spectral Granger,0.992 ± 0.002,1.000 ± 0.000,0.654 ± 0.033,0.899 ± 0.004,0.997 ± 0.003,0.675 ± 0.035
iCOH,0.994 ± 0.001,1.000 ± 0.000,0.598 ± 0.044,0.982 ± 0.003,0.999 ± 0.001,0.991 ± 0.012
