,precision,recall,f1-score,support
0,0.18892261001517452,0.4463207547169811,0.2654733179956232,10600.0
1,0.18734717640209586,0.45537735849056604,0.2654750446858243,10600.0
2,0.053003533568904596,0.0014563106796116505,0.002834734952281962,10300.0
3,0.0,0.0,0.0,10100.0
4,0.08780487804878048,0.0036363636363636364,0.006983511154219205,9900.0
accuracy,0.18658252427184466,0.18658252427184466,0.18658252427184466,0.18658252427184466
macro avg,0.1034156396069911,0.1813581575047045,0.10815332175758974,51500.0
weighted avg,0.10492552280515942,0.18658252427184466,0.11119198397783722,51500.0
