,mean,err
Classifier,MLP,MLP
FC Metric,,
COH,0.7844634238310709,0.09788951734539963
PDC,0.30581447963800906,0.10595022624434386
PLV,0.787359351432881,0.10108484162895948
Spectral Granger,0.30388876319758673,0.10787594268476619
iCOH,0.04854826546003017,0.04949095022624434
