,mean,err
Classifier,SVC,SVC
FC Metric,,
COH,0.523513742260885,0.08116444492360686
PDC,0.8676195938877059,0.05716365224373199
PLV,0.5210627300193484,0.08499199524847079
Spectral Granger,0.6414451778688328,0.08293463792800437
iCOH,0.9957918984988705,0.015784209148620665
