,precision,recall,f1-score,support
0,0.9585715624707095,0.964811320754717,0.9616813202313226,10600.0
1,0.9578720210170764,0.9631132075471698,0.9604854642957945,10600.0
2,0.9641744548286605,0.9615533980582525,0.9628621427182579,10300.0
3,0.9608583349890721,0.9576237623762376,0.9592383219279976,10100.0
4,0.9647178444331469,0.9583838383838383,0.9615404104383076,9900.0
accuracy,0.9611650485436893,0.9611650485436893,0.9611650485436893,0.9611650485436893
macro avg,0.961238843547733,0.961097105424043,0.9611615319223361,51500.0
weighted avg,0.9611781497666702,0.9611650485436893,0.9611651475883015,51500.0
