,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.12356696526200701,1.0,0.10318838919839818,0.11976286318811381,0.10503576178909467,0.05915372188617115,0.05894725042426745,0.0,0.060882729998882,0.06323561339550206,0.05717287296915642,0.030298288166861913
PDC,0.9392978420246764,0.9942808667802785,0.22056141690790174,0.5311525395082101,0.9288410441347812,0.43800900745356847,0.0767790830059174,0.034665482164893846,0.08926662841279068,0.12181091370524322,0.08823492476395589,0.11346453289497188
PLV,0.11528289996660493,0.9884222360809126,0.10879280517107678,0.11905498667066006,0.11725696269656316,0.06220109815231939,0.06260174969745647,0.03700099065966722,0.05685272040757566,0.06533590365676276,0.06138084025070273,0.032897306704149976
Spectral Granger,0.9176810937557455,1.0,0.18819823385045445,0.5339839743675806,0.9288425235093424,0.19198390352860073,0.0973494254240771,0.0,0.07631656337278267,0.1335259438188081,0.08117652284334187,0.07734616183087634
iCOH,0.8977191397465624,0.9865671188374749,0.16785476672915234,0.9075794794764919,0.9512122459807135,0.9510525677220956,0.10265745143487404,0.043984368254724404,0.07218319805803841,0.09242052052350813,0.07106517083363828,0.07480689672642449
