,mean,err
Classifier,MLP,MLP
FC Metric,,
COH,0.5203918676590024,0.07769675039641111
PDC,0.8960005418660096,0.05348067617086272
PLV,0.5163661161558254,0.07882100890303922
Spectral Granger,0.8894800528685485,0.05425908393363721
iCOH,0.9688273293697919,0.0423405196340052
