,precision,recall,f1-score,support
0,0.663837166849215,0.6861320754716981,0.6748005195769159,10600.0
1,0.694769409262303,0.6779245283018868,0.6862436136179152,10600.0
2,0.6958534233365478,0.7005825242718446,0.6982099661344944,10300.0
3,0.6561855163604206,0.6611881188118812,0.6586773191300488,10100.0
4,0.6914232442510876,0.6742424242424242,0.6827247621969929,9900.0
accuracy,0.6801553398058252,0.6801553398058252,0.6801553398058252,0.6801553398058252
macro avg,0.6804137520119148,0.680013934219947,0.6801312361312734,51500.0
weighted avg,0.6804093941839717,0.6801553398058252,0.680198961786684,51500.0
