,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.5190898305145263,1.0,0.49566800497798685,0.5195507396485036,0.5126080479836694,0.5274795631921408,0.07977284757548292,0.0,0.08580511342241326,0.08012884759232342,0.07693676037393327,0.08168062932704195
PDC,0.9913392613214087,1.0,0.6556685653847892,0.8957734971986657,0.9980483957729244,0.8680268426498271,0.02275648619963755,0.0,0.0853902382256091,0.055137050786847275,0.007490750072604024,0.05888366761201225
PLV,0.5259400570490518,0.9996800246621551,0.4994734283734641,0.515650049425936,0.513372583275003,0.5265601293592675,0.07931382435308543,0.0025794811838942833,0.08160868859528081,0.07971632022658126,0.08533511782657954,0.08567571820359487
Spectral Granger,0.9897673808693713,1.0,0.6260546188137402,0.8900250537770564,0.9987754611590284,0.6403187054541591,0.022339319628087995,0.0,0.0864018374329385,0.057160688016349104,0.003638054319463957,0.0854999786553221
iCOH,0.9895704993941424,0.9999993650793652,0.604095364126763,0.9690960900273742,0.9980563384568601,0.9959435016768786,0.021734606248581922,6.349206348454928e-07,0.07937736013407093,0.04186414929543336,0.01050877874466627,0.01720114968605102
