,precision,recall,f1-score,support
0,0.5517604208822339,0.6431132075471698,0.5939446743628839,10600.0
1,0.6217123163431888,0.6466981132075472,0.6339591232775363,10600.0
2,0.6041748719968492,0.5957281553398058,0.5999217833398514,10300.0
3,0.6539011437908496,0.633960396039604,0.6437763925196058,10100.0
4,0.6256272182107453,0.5163636363636364,0.5657683581428808,9900.0
accuracy,0.6082135922330097,0.6082135922330097,0.6082135922330097,0.6082135922330097
macro avg,0.6114351942447733,0.6071727016995526,0.6074740663285517,51500.0
weighted avg,0.6108722953151647,0.6082135922330097,0.6077324841446886,51500.0
