,precision,recall,f1-score,support
0,0.3243890414817945,0.4345283018867925,0.3714665913948143,10600.0
1,0.3092438494934877,0.32254716981132076,0.3157554488363502,10600.0
2,0.3498595809030028,0.3144660194174757,0.331219961141221,10300.0
3,0.2640953716690042,0.18643564356435643,0.21857225769007546,10100.0
4,0.3308308816069798,0.3293939393939394,0.33011084678848,9900.0
accuracy,0.31860194174757284,0.31860194174757284,0.31860194174757284,0.31860194174757284
macro avg,0.3156837450308538,0.31747421481477694,0.3134250211701882,51500.0
weighted avg,0.31577963707582457,0.31860194174757284,0.3140154643122453,51500.0
