,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.7805788084464554,0.0,0.8126157616892912,0.7844634238310709,0.8097032428355958,0.8184400452488689,0.09430429864253387,0.0,0.10107730015082961,0.09788951734539963,0.08421304675716446,0.0876708144796382
PDC,0.031047134238310712,0.0029083710407239822,0.6388453996983408,0.30581447963800906,0.03689177978883862,0.39030165912518855,0.04587594268476622,0.01669947209653092,0.11115460030165925,0.10595022624434386,0.04153959276018099,0.10969834087481145
PLV,0.7931843891402715,0.005823529411764706,0.8038604826546003,0.787359351432881,0.7893054298642534,0.8116546003016593,0.08916855203619911,0.013784313725490195,0.09232202111613874,0.10108484162895948,0.09699773755656116,0.09030618401206625
Spectral Granger,0.042710407239819004,0.0,0.6786308446455505,0.30388876319758673,0.03688989441930618,0.6737880844645551,0.053443438914027155,0.0,0.10568288084464561,0.10787594268476619,0.04154147812971343,0.110525641025641
iCOH,0.05437594268476621,0.006794494720965309,0.7126112368024132,0.04854826546003017,0.025237556561085974,0.025238310708898943,0.06100867269984918,0.012813348416289592,0.09722662141779781,0.04949095022624434,0.03358597285067873,0.033585218702865766
