,precision,recall,f1-score,support
0,0.15959798994974875,0.14981132075471698,0.15454987834549877,10600.0
1,0.2127751031636864,0.23349056603773585,0.22265203310543363,10600.0
2,0.20123274589808143,0.2250485436893204,0.21247536550712678,10300.0
3,0.20658919101884238,0.18128712871287128,0.19311290407635923,10100.0
4,0.19379194630872484,0.18666666666666668,0.1901625848940111,9900.0
accuracy,0.1953398058252427,0.1953398058252427,0.1953398058252427,0.1953398058252427
macro avg,0.19479739526781678,0.19526084517226222,0.1945905531856859,51500.0
weighted avg,0.19465909063105505,0.1953398058252427,0.19456090189757722,51500.0
