,precision,recall,f1-score,support
0,0.9557223264540338,0.9611320754716981,0.9584195672624647,10600.0
1,0.9576461769115442,0.9641509433962264,0.9608875517111696,10600.0
2,0.9653426791277259,0.9627184466019417,0.9640287769784173,10300.0
3,0.9672,0.9576237623762376,0.9623880597014925,10100.0
4,0.9642279708973323,0.9638383838383838,0.9640331380076783,9900.0
accuracy,0.9619029126213592,0.9619029126213592,0.9619029126213592,0.9619029126213592
macro avg,0.9620278306781271,0.9618927223368976,0.9619514187322444,51500.0
weighted avg,0.9619284008266854,0.9619029126213592,0.9619067831700836,51500.0
