,precision,recall,f1-score,support
0,0.9979262889999058,0.9987735849056604,0.9983497571785562,10600.0
1,0.9977364896727341,0.9980188679245283,0.9978776588218649,10600.0
2,0.9974774425147958,0.9981553398058253,0.9978162760227107,10300.0
3,0.9987101895029269,0.9966336633663366,0.9976708459289361,10100.0
4,0.9982831751161382,0.9984848484848485,0.9983840016159983,9900.0
accuracy,0.9980194174757282,0.9980194174757282,0.9980194174757282,0.9980194174757282
macro avg,0.9980267171613002,0.9980132608974397,0.9980197079136133,51500.0
weighted avg,0.9980197953293535,0.9980194174757282,0.9980193283984274,51500.0
