,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GNN,LogReg,MLP,RFC,SVM,CNN,GNN,LogReg,MLP,RFC,SVM
FC Metric,,,,,,,,,,,,
COH,0.22035454087879786,1.0,0.18707316570426477,0.21489373827582808,0.19033437297824293,0.17644643807259133,0.09857183829758132,0.0,0.09717883229773319,0.09937060848851853,0.09626532144498082,0.07401199238583903
PDC,0.9686438339214964,0.9972120185696656,0.36176120086999347,0.6931457512413627,0.9632810855544525,0.6086198171857382,0.04338284491050748,0.017212018569665477,0.11836761475882213,0.1175803721759835,0.05010576087912777,0.11345994927587028
PLV,0.20746534395600957,0.9940598849842968,0.19625767705634578,0.21174517136973794,0.2105043117589325,0.18236746920777877,0.09868877969811407,0.02263131355572523,0.09594742339875467,0.10331360318903657,0.09762980412518338,0.07243411809380848
SpcG,0.956827264784579,1.0,0.31903835342418163,0.696146804561108,0.963074951838667,0.3246961451087612,0.056827264784579,0.0,0.10636302874885695,0.10699641333210985,0.04792343668715171,0.10774180582918974
iCOH,0.9459345178394017,0.9934454019595815,0.28703770639920795,0.9515906012288365,0.9749649445050993,0.975013468383182,0.05716295606783983,0.02201683053101,0.10778538717388564,0.05181039940451715,0.039076666116820924,0.0416917900615037
