,precision,recall,f1-score,support
0,0.16158260344306857,0.15141509433962264,0.15633370671601812,10600.0
1,0.20957152729785763,0.22886792452830187,0.2187950937950938,10600.0
2,0.20324501596616898,0.22864077669902913,0.2151962352081144,10300.0
3,0.20589903573454338,0.1797029702970297,0.19191118160190326,10100.0
4,0.19657941391177391,0.1904040404040404,0.19344245471804608,9900.0
accuracy,0.19584466019417476,0.19584466019417476,0.19584466019417476,0.19584466019417476
macro avg,0.19537551927068247,0.19580616125360475,0.19513573440783513,51500.0
weighted avg,0.1952111438631225,0.19584466019417476,0.1950731989116358,51500.0
