,precision,recall,f1-score,support
0,0.9983006042296072,0.9975471698113207,0.997923744809362,10600.0
1,0.9975485574203281,0.9981132075471698,0.9978308026030369,10600.0
2,0.9980595711652275,0.99873786407767,0.9983986024166546,10300.0
3,0.9994047028475047,0.9973267326732673,0.9983646365032955,10100.0
4,0.9978822105687777,0.9994949494949495,0.998687928946306,9900.0
accuracy,0.9982330097087379,0.9982330097087379,0.9982330097087379,0.9982330097087379
macro avg,0.9982391292462891,0.9982439847208756,0.998241143055731,51500.0
weighted avg,0.9982337102889681,0.9982330097087379,0.9982329540332948,51500.0
