,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.2115518131031211,1.0,0.17985752021330886,0.20556738703797525,0.18283285724487985,0.10114084048877556,0.09197087834835599,0.0,0.09280547714937887,0.09541107828754888,0.08978390054331487,0.04436999542453712
PDC,0.9670053947112741,0.9969667420767155,0.34969072274290836,0.6818202206550712,0.9611731117534636,0.5964139034165363,0.04297667049431453,0.01825525748287793,0.11444014336617914,0.11343086725484819,0.05137377775412966,0.11288794748840653
PLV,0.19882131019044,0.9938403271068532,0.1885884295722103,0.20449215984701563,0.20169102599024735,0.10548166634410973,0.09611264474351491,0.01976480263132885,0.0894218020641083,0.0977173106044315,0.09310936329755609,0.04792755378999717
Spectral Granger,0.9545912976500094,1.0,0.30448879424907715,0.6853078240334616,0.9611346878910211,0.3097737758256995,0.056467629722068535,0.0,0.10495981596423887,0.10841874841369914,0.046630346154326374,0.10661753946946312
iCOH,0.9432466069070405,0.9928510937620671,0.27766090342855115,0.9490290503981723,0.9736572514192028,0.9735448272715044,0.06138002549186572,0.023811411222384726,0.10235269805947489,0.053310973121655114,0.04079089321600238,0.04200000934433368
