,precision,recall,f1-score,support
0,0.19413251564248124,0.4419811320754717,0.26977226268966115,10600.0
1,0.19264077173237842,0.49735849056603776,0.2777148576395291,10600.0
2,0.0,0.0,0.0,10300.0
3,0.0,0.0,0.0,10100.0
4,0.0,0.0,0.0,9900.0
accuracy,0.1933398058252427,0.1933398058252427,0.1933398058252427,0.1933398058252427
macro avg,0.07735465747497193,0.18786792452830187,0.10949742406583804,51500.0
weighted avg,0.07960770575094199,0.1933398058252427,0.11268666942697896,51500.0
