,precision,recall,f1-score,support
0,0.6296748731441458,0.6321698113207547,0.6309198757179173,10600.0
1,0.6763185108583247,0.6786792452830188,0.6774968215849696,10600.0
2,0.6351130351130351,0.6409708737864077,0.6380285093017637,10300.0
3,0.644878241151533,0.6476237623762376,0.6462480857580398,10100.0
4,0.6176804709284313,0.6041414141414141,0.6108359291221979,9900.0
accuracy,0.6411456310679612,0.6411456310679612,0.6411456310679612,0.6411456310679612
macro avg,0.6407330262390941,0.6407170213815666,0.6407058442969775,51500.0
weighted avg,0.6410388549497553,0.6411456310679611,0.6410736311006743,51500.0
