,mean,err
Classifier,SVM,SVM
FC Metric,,
COH,0.5274795631921408,0.08168062932704195
PDC,0.8680268426498271,0.05888366761201225
PLV,0.5265601293592675,0.08567571820359487
SpcG,0.6403187054541591,0.0854999786553221
iCOH,0.9959435016768786,0.01720114968605102
