,precision,recall,f1-score,support
0,0.1953621054568878,0.20028301886792452,0.19779195975217775,10600.0
1,0.21555610195885583,0.2481132075471698,0.23069163633173984,10600.0
2,0.19442494735786625,0.18825242718446603,0.19128890642726779,10300.0
3,0.21497584541062803,0.19386138613861387,0.20387338608912953,10100.0
4,0.1863971767725377,0.17606060606060606,0.18108150225962288,9900.0
accuracy,0.20180582524271845,0.20180582524271845,0.20180582524271845,0.20180582524271845
macro avg,0.20134323539135512,0.20131412915975605,0.20094547817198757,51500.0
weighted avg,0.20145433097258975,0.20180582524271845,0.20124329954487105,51500.0
