,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.21942119155354448,1.0,0.18738423831070888,0.21553657616892913,0.19029675716440422,0.1815599547511312,0.09430429864253395,0.0,0.10107730015082955,0.09788951734539972,0.08421304675716443,0.08767081447963801
PDC,0.9689528657616893,0.9970916289592759,0.36115460030165913,0.694185520361991,0.9631082202111615,0.6096983408748115,0.045875942684766136,0.016699472096530887,0.11115460030165913,0.10595022624434391,0.041539592760181154,0.10969834087481145
PLV,0.20681561085972852,0.9941764705882352,0.1961395173453997,0.21264064856711917,0.21069457013574663,0.18834539969834088,0.08916855203619911,0.01378431372549016,0.09232202111613874,0.10108484162895925,0.09699773755656108,0.09030618401206637
Spectral Granger,0.957289592760181,1.0,0.32136915535444943,0.6961112368024133,0.9631101055806938,0.326211915535445,0.05344343891402714,0.0,0.1056828808446455,0.10787594268476619,0.04154147812971343,0.11052564102564105
iCOH,0.9456240573152338,0.9932055052790347,0.2873887631975867,0.9514517345399698,0.974762443438914,0.974761689291101,0.06100867269984922,0.012813348416289672,0.09722662141779792,0.04949095022624428,0.03358597285067877,0.03358521870286568
