,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.21953077465926335,1.0,0.18808211427547342,0.21313281298337025,0.19040615156343485,0.0726403446891196,0.09714671451822582,0.0,0.09872607753271836,0.0989591571380116,0.09402020231144839,0.03505196300318811
PDC,0.9687977355015126,0.9970688482106129,0.36189361510436585,0.6935848430929237,0.9631054678671861,0.6109356689553772,0.04401995772373479,0.01706884821061283,0.11711683632758707,0.11308833959642006,0.05312566988738798,0.11497296499267329
PLV,0.206992200163098,0.9942303068663363,0.195920806900358,0.21239387023880832,0.20940152941907855,0.07612588901601634,0.09792965575875784,0.02280173543776476,0.09637375964420852,0.10617629570635759,0.1034501189325697,0.037595311281270916
Spectral Granger,0.9570231742818585,1.0,0.3159034679992238,0.6959358443122066,0.9634700285198118,0.32244759914936616,0.05466206317074729,0.0,0.11696478384696918,0.10721678559314785,0.04728510233488559,0.11877220591514939
iCOH,0.9465810540190803,0.9931145740207505,0.2874690835927059,0.9523897532721837,0.9751269712253691,0.9748938541953402,0.060043646981673304,0.021686002592179232,0.10785306647944415,0.053912480544910935,0.04051158660998444,0.04156052086200701
