,precision,recall,f1-score,support
0,0.9985847721483159,0.9984905660377359,0.9985376668710789,10600.0
1,0.9983972848119167,0.9990566037735849,0.9987268354788513,10600.0
2,0.9987381091050281,0.9989320388349514,0.998835064556839,10300.0
3,0.9992070571910001,0.9981188118811881,0.9986626380702363,10100.0
4,0.9988892254872261,0.9991919191919192,0.9990405494117053,9900.0
accuracy,0.998757281553398,0.998757281553398,0.998757281553398,0.998757281553398
macro avg,0.9987632897486973,0.9987579879438758,0.9987605508777421,51500.0
weighted avg,0.9987574162623863,0.998757281553398,0.9987572616219411,51500.0
