,precision,recall,f1-score,support
0,0.9619606358819076,0.9590566037735849,0.960506424792139,10600.0
1,0.9605337342604774,0.9643396226415094,0.962432915921288,10600.0
2,0.9591364687740941,0.9662135922330097,0.9626620236022442,10300.0
3,0.9655721393034826,0.9607920792079208,0.9631761786600497,10100.0
4,0.9620843471208435,0.9585858585858585,0.9603319166160695,9900.0
accuracy,0.9618252427184466,0.9618252427184466,0.9618252427184466,0.9618252427184466
macro avg,0.961857465068161,0.9617975512883767,0.9618218919183581,51500.0
weighted avg,0.9618341668998831,0.9618252427184466,0.9618241016239035,51500.0
