,precision,recall,f1-score,support
0,0.9589337854384478,0.9604716981132075,0.9597021256539566,10600.0
1,0.967827907862174,0.9592452830188679,0.9635174831801383,10600.0
2,0.9557487922705314,0.9603883495145631,0.9580629539951574,10300.0
3,0.9611324849561014,0.9646534653465346,0.9628897563868162,10100.0
4,0.9601617795753287,0.9591919191919192,0.9596766043456292,9900.0
accuracy,0.9607766990291262,0.9607766990291262,0.9607766990291262,0.9607766990291262
macro avg,0.9607609500205166,0.9607901430370184,0.9607697847123395,51500.0
weighted avg,0.96079468398496,0.9607766990291262,0.9607798291712639,51500.0
