,precision,recall,f1-score,support
0,0.9648791540785498,0.9641509433962264,0.9645149112872782,10600.0
1,0.9625658389766741,0.9654716981132075,0.964016578749058,10600.0
2,0.9592428047131544,0.9642718446601942,0.9617507504599594,10300.0
3,0.9689490445859873,0.9639603960396039,0.9664482827079611,10100.0
4,0.969212072108568,0.9666666666666667,0.9679376959643978,9900.0
accuracy,0.9648932038834952,0.9648932038834952,0.9648932038834952,0.9648932038834952
macro avg,0.9649697828925866,0.9649043097751797,0.9649336438337309,51500.0
weighted avg,0.9649068481383333,0.9648932038834952,0.9648966479518581,51500.0
