,mean,err
Classifier,GNN,GNN
FC Metric,,
COH,1.0,0.0
PDC,0.9972120185696656,0.017212018569665477
PLV,0.9940598849842968,0.02263131355572523
SpcG,1.0,0.0
iCOH,0.9934454019595815,0.02201683053101
