,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GNN,LogReg,MLP,RFC,SVM,CNN,GNN,LogReg,MLP,RFC,SVM
FC Metric,,,,,,,,,,,,
COH,0.12429081869650453,1.0,0.10439362301477174,0.12190704017010444,0.10605644754549329,0.10072112483673828,0.06175569293140244,0.0,0.06414570282792488,0.060122558138563445,0.0530344615454158,0.05483443071881727
PDC,0.9407150010644119,0.9943065678556245,0.2225118876098568,0.5351616412926065,0.9300608842782557,0.44188881133066993,0.08357214392155476,0.03276810631716298,0.08518042008245091,0.11849497462593978,0.07551542973280123,0.11034999463947937
PLV,0.11641259123021254,0.9886357171130755,0.10974713871123203,0.12013062107574092,0.1188387301512922,0.10502174782758626,0.05600120187323575,0.027097255574613954,0.0587921871314646,0.06591589055216605,0.06297945166688962,0.054069161263322826
SpcG,0.91944682079011,1.0,0.19318544381415986,0.5372812140418989,0.9299227487918323,0.1967724713565404,0.09488541728133804,0.0,0.07510723911266942,0.1348499334990847,0.07537729424637785,0.07822752864345961
iCOH,0.8984601526701644,0.9867434147962449,0.16925522613457286,0.9088062910056275,0.9515597831770212,0.9515627111496028,0.10535670439430234,0.02520495325778338,0.06884001196066522,0.09119370899437251,0.06267089428813233,0.06267382226071394
