,mean,mean,mean,mean,mean,mean,err,err,err,err,err,err
Model,CNN,GCN,LogReg,MLP,RFC,SVC,CNN,GCN,LogReg,MLP,RFC,SVC
FC Metric,,,,,,,,,,,,
COH,0.5196074854004719,1.0,0.49792608363248997,0.5203918676590024,0.5128647903898477,0.523513742260885,0.0753086914397968,0.0,0.07957706056955788,0.07769675039641111,0.0766965929979137,0.08116444492360686
PDC,0.9911377314696327,0.9999804690077099,0.6563408624413914,0.8960005418660096,0.9977106987896097,0.8676195938877059,0.023591433633001868,7.658588583370207e-05,0.07896739547716058,0.05348067617086272,0.007048716541088962,0.05716365224373199
PLV,0.5267805247867797,0.9996014264114395,0.5005077980860229,0.5163661161558254,0.5144313133646253,0.5210627300193484,0.07690887217080822,0.003392106884812174,0.07846819793223586,0.07882100890303922,0.0839123820364378,0.08499199524847079
Spectral Granger,0.9895327626322603,1.0,0.6255270666763922,0.8894800528685485,0.9982715951235756,0.6414451778688328,0.022269186691964316,0.0,0.08552985669627533,0.05425908393363721,0.00399583686662397,0.08293463792800437
iCOH,0.9891986863481615,0.9999411095371262,0.6045501185536286,0.9688273293697919,0.997786888353279,0.9957918984988705,0.020652586361583736,0.0003109320223333434,0.07871373265630655,0.0423405196340052,0.01045330847162218,0.015784209148620665
